right_key	vertex	rem0	rem1	twin0	twin1	guess	domain_mask	matched
6998	0	2	7	9	12	3	3448	1
7003	0	2	7	10	3	5	7024	1
7004	0	2	7	10	4	5	7016	1
7005	0	2	7	10	5	11	7000	1
7006	0	2	7	10	6	11	6968	1
7008	0	2	7	10	8	5	6776	1
7009	0	2	7	10	9	5	6520	1
7010	0	2	7	10	10	5	7032	1
7011	0	2	7	10	11	9	4984	1
7012	0	2	7	10	12	5	2936	1
7017	0	2	7	11	3	10	6000	1
7018	0	2	7	11	4	12	5992	1
7019	0	2	7	11	5	8	5976	1
7020	0	2	7	11	6	8	5944	1
7022	0	2	7	11	8	5	5752	1
7023	0	2	7	11	9	5	5496	1
7024	0	2	7	11	10	5	4984	1
7025	0	2	7	11	11	5	6008	1
7026	0	2	7	11	12	5	1912	1
7031	0	2	7	12	3	5	3952	1
7032	0	2	7	12	4	5	3944	1
7033	0	2	7	12	5	8	3928	1
7034	0	2	7	12	6	11	3896	1
7036	0	2	7	12	8	10	3704	1
7037	0	2	7	12	9	8	3448	1
7038	0	2	7	12	10	5	2936	1
7039	0	2	7	12	11	10	1912	1
7040	0	2	7	12	12	5	3960	1
7101	0	2	8	3	3	10	7920	1
7102	0	2	8	3	4	6	7904	1
7103	0	2	8	3	5	10	7888	1
7104	0	2	8	3	6	10	7856	1
7105	0	2	8	3	7	10	7792	1
7107	0	2	8	3	9	5	7408	1
7108	0	2	8	3	10	6	6896	1
7109	0	2	8	3	11	5	5872	1
7110	0	2	8	3	12	5	3824	1
7115	0	2	8	4	3	7	7904	1
7116	0	2	8	4	4	5	7912	1
7117	0	2	8	4	5	7	7880	1
7118	0	2	8	4	6	10	7848	1
7119	0	2	8	4	7	5	7784	1
7121	0	2	8	4	9	5	7400	1
7122	0	2	8	4	10	5	6888	1
7123	0	2	8	4	11	7	5864	1
7124	0	2	8	4	12	7	3816	1
7129	0	2	8	5	3	10	7888	1
7130	0	2	8	5	4	11	7880	1
7131	0	2	8	5	5	10	7896	1
7132	0	2	8	5	6	10	7832	1
7133	0	2	8	5	7	10	7768	1
7135	0	2	8	5	9	10	7384	1
7136	0	2	8	5	10	11	6872	1
7137	0	2	8	5	11	10	5848	1
7138	0	2	8	5	12	11	3800	1
7143	0	2	8	6	3	7	7856	1
7144	0	2	8	6	4	5	7848	1
7145	0	2	8	6	5	7	7832	1
7146	0	2	8	6	6	7	7864	1
7147	0	2	8	6	7	10	7736	1
7149	0	2	8	6	9	5	7352	1
7150	0	2	8	6	10	7	6840	1
7151	0	2	8	6	11	7	5816	1
7152	0	2	8	6	12	7	3768	1
7157	0	2	8	7	3	10	7792	1
7158	0	2	8	7	4	11	7784	1
7159	0	2	8	7	5	11	7768	1
7160	0	2	8	7	6	5	7736	1
7161	0	2	8	7	7	9	7800	1
7163	0	2	8	7	9	5	7288	1
7164	0	2	8	7	10	5	6776	1
7165	0	2	8	7	11	5	5752	1
7166	0	2	8	7	12	5	3704	1
7185	0	2	8	9	3	10	7408	1
7186	0	2	8	9	4	6	7400	1
7187	0	2	8	9	5	7	7384	1
7188	0	2	8	9	6	10	7352	1
7189	0	2	8	9	7	10	7288	1
7191	0	2	8	9	9	10	7416	1
7192	0	2	8	9	10	11	6392	1
7193	0	2	8	9	11	6	5368	1
7194	0	2	8	9	12	7	3320	1
7199	0	2	8	10	3	11	6896	1
7200	0	2	8	10	4	5	6888	1
7201	0	2	8	10	5	11	6872	1
7202	0	2	8	10	6	5	6840	1
7203	0	2	8	10	7	5	6776	1
7205	0	2	8	10	9	5	6392	1
7206	0	2	8	10	10	5	6904	1
7207	0	2	8	10	11	5	4856	1
7208	0	2	8	10	12	5	2808	1
7213	0	2	8	11	3	7	5872	1
7214	0	2	8	11	4	9	5864	1
7215	0	2	8	11	5	10	5848	1
7216	0	2	8	11	6	5	5816	1
7217	0	2	8	11	7	5	5752	1
7219	0	2	8	11	9	5	5368	1
7220	0	2	8	11	10	5	4856	1
7221	0	2	8	11	11	6	5880	1
7222	0	2	8	11	12	5	1784	1
7227	0	2	8	12	3	7	3824	1
7228	0	2	8	12	4	9	3816	1
7229	0	2	8	12	5	7	3800	1
7230	0	2	8	12	6	5	3768	1
7231	0	2	8	12	7	6	3704	1
7233	0	2	8	12	9	5	3320	1
7234	0	2	8	12	10	5	2808	1
7235	0	2	8	12	11	5	1784	1
7236	0	2	8	12	12	6	3832	1
7297	0	2	9	3	3	6	7664	1
7298	0	2	9	3	4	8	7648	1
7299	0	2	9	3	5	8	7632	1
7300	0	2	9	3	6	8	7600	1
7301	0	2	9	3	7	8	7536	1
7302	0	2	9	3	8	6	7408	1
7304	0	2	9	3	10	8	6640	1
7305	0	2	9	3	11	8	5616	1
7306	0	2	9	3	12	6	3568	1
7311	0	2	9	4	3	6	7648	1
7312	0	2	9	4	4	8	7656	1
7313	0	2	9	4	5	8	7624	1
7314	0	2	9	4	6	11	7592	1
7315	0	2	9	4	7	8	7528	1
7316	0	2	9	4	8	11	7400	1
7318	0	2	9	4	10	8	6632	1
7319	0	2	9	4	11	7	5608	1
7320	0	2	9	4	12	7	3560	1
7325	0	2	9	5	3	7	7632	1
7326	0	2	9	5	4	7	7624	1
7327	0	2	9	5	5	10	7640	1
7328	0	2	9	5	6	8	7576	1
7329	0	2	9	5	7	8	7512	1
7330	0	2	9	5	8	11	7384	1
7332	0	2	9	5	10	8	6616	1
7333	0	2	9	5	11	7	5592	1
7334	0	2	9	5	12	8	3544	1
7339	0	2	9	6	3	10	7600	1
7340	0	2	9	6	4	8	7592	1
7341	0	2	9	6	5	8	7576	1
7342	0	2	9	6	6	8	7608	1
7343	0	2	9	6	7	8	7480	1
7344	0	2	9	6	8	11	7352	1
7346	0	2	9	6	10	8	6584	1
7347	0	2	9	6	11	8	5560	1
7348	0	2	9	6	12	8	3512	1
7353	0	2	9	7	3	10	7536	1
7354	0	2	9	7	4	8	7528	1
7355	0	2	9	7	5	8	7512	1
7356	0	2	9	7	6	8	7480	1
7357	0	2	9	7	7	8	7544	1
7358	0	2	9	7	8	11	7288	1
7360	0	2	9	7	10	3	6520	1
7361	0	2	9	7	11	8	5496	1
7362	0	2	9	7	12	8	3448	1
7367	0	2	9	8	3	6	7408	1
7368	0	2	9	8	4	10	7400	1
7369	0	2	9	8	5	10	7384	1
7370	0	2	9	8	6	10	7352	1
7371	0	2	9	8	7	10	7288	1
7372	0	2	9	8	8	11	7416	1
7374	0	2	9	8	10	11	6392	1
7375	0	2	9	8	11	10	5368	1
7376	0	2	9	8	12	6	3320	1
7395	0	2	9	10	3	12	6640	1
7396	0	2	9	10	4	8	6632	1
7397	0	2	9	10	5	11	6616	1
7398	0	2	9	10	6	8	6584	1
7399	0	2	9	10	7	8	6520	1
7400	0	2	9	10	8	11	6392	1
7402	0	2	9	10	10	8	6648	1
7403	0	2	9	10	11	8	4600	1
7404	0	2	9	10	12	8	2552	1
7409	0	2	9	11	3	7	5616	1
7410	0	2	9	11	4	7	5608	1
7411	0	2	9	11	5	6	5592	1
7412	0	2	9	11	6	12	5560	1
7413	0	2	9	11	7	12	5496	1
7414	0	2	9	11	8	12	5368	1
7416	0	2	9	11	10	12	4600	1
7417	0	2	9	11	11	7	5624	1
7418	0	2	9	11	12	7	1528	1
7423	0	2	9	12	3	10	3568	1
7424	0	2	9	12	4	7	3560	1
7425	0	2	9	12	5	8	3544	1
7426	0	2	9	12	6	8	3512	1
7427	0	2	9	12	7	8	3448	1
7428	0	2	9	12	8	6	3320	1
7430	0	2	9	12	10	8	2552	1
7431	0	2	9	12	11	8	1528	1
7432	0	2	9	12	12	6	3576	1
7493	0	2	10	3	3	8	7152	1
7494	0	2	10	3	4	5	7136	1
7495	0	2	10	3	5	8	7120	1
7496	0	2	10	3	6	5	7088	1
7497	0	2	10	3	7	5	7024	1
7498	0	2	10	3	8	11	6896	1
7499	0	2	10	3	9	5	6640	1
7501	0	2	10	3	11	9	5104	1
7502	0	2	10	3	12	5	3056	1
7507	0	2	10	4	3	5	7136	1
7508	0	2	10	4	4	5	7144	1
7509	0	2	10	4	5	12	7112	1
7510	0	2	10	4	6	5	7080	1
7511	0	2	10	4	7	5	7016	1
7512	0	2	10	4	8	6	6888	1
7513	0	2	10	4	9	8	6632	1
7515	0	2	10	4	11	5	5096	1
7516	0	2	10	4	12	5	3048	1
7521	0	2	10	5	3	8	7120	1
7522	0	2	10	5	4	8	7112	1
7523	0	2	10	5	5	8	7128	1
7524	0	2	10	5	6	8	7064	1
7525	0	2	10	5	7	8	7000	1
7526	0	2	10	5	8	6	6872	1
7527	0	2	10	5	9	6	6616	1
7529	0	2	10	5	11	6	5080	1
7530	0	2	10	5	12	8	3032	1
7535	0	2	10	6	3	8	7088	1
7536	0	2	10	6	4	8	7080	1
7537	0	2	10	6	5	4	7064	1
7538	0	2	10	6	6	8	7096	1
7539	0	2	10	6	7	8	6968	1
7540	0	2	10	6	8	11	6840	1
7541	0	2	10	6	9	8	6584	1
7543	0	2	10	6	11	9	5048	1
7544	0	2	10	6	12	8	3000	1
7549	0	2	10	7	3	5	7024	1
7550	0	2	10	7	4	8	7016	1
7551	0	2	10	7	5	11	7000	1
7552	0	2	10	7	6	5	6968	1
7553	0	2	10	7	7	5	7032	1
7554	0	2	10	7	8	11	6776	1
7555	0	2	10	7	9	5	6520	1
7557	0	2	10	7	11	5	4984	1
7558	0	2	10	7	12	8	2936	1
7563	0	2	10	8	3	11	6896	1
7564	0	2	10	8	4	9	6888	1
7565	0	2	10	8	5	11	6872	1
7566	0	2	10	8	6	5	6840	1
7567	0	2	10	8	7	5	6776	1
7568	0	2	10	8	8	6	6904	1
7569	0	2	10	8	9	5	6392	1
7571	0	2	10	8	11	5	4856	1
7572	0	2	10	8	12	5	2808	1
7577	0	2	10	9	3	5	6640	1
7578	0	2	10	9	4	5	6632	1
7579	0	2	10	9	5	12	6616	1
